address,suburb,property_type,bedrooms,bathrooms,land_size,sold_price,sold_date
"93 Dunedin Street, SUNNYBANK",Sunnybank,house,0,0,638,1358000,2025-11-05
"31 Shelley Street, SUNNYBANK",Sunnybank,house,0,0,540,1780000,2025-10-25
"5 Batford Street, SUNNYBANK",Sunnybank,house,0,0,556,1400000,2025-10-31
"13 Dema Street, SUNNYBANK",Sunnybank,house,0,0,456,1337000,2025-12-06
"43 Shelley Street, SUNNYBANK",Sunnybank,house,0,0,1012,1761000,2025-10-25
"20 Valhalla Street, SUNNYBANK",Sunnybank,house,0,0,607,1668000,2025-10-31
"115 Turton Street, SUNNYBANK",Sunnybank,house,0,0,492,1597000,2025-11-01
"11/16 Troughton Road, SUNNYBANK",Sunnybank,unit,0,0,0,638888,2025-11-07
"5/16 Troughton Road, SUNNYBANK",Sunnybank,unit,0,0,0,740000,2025-11-26
"10 Sunnybrae Street, SUNNYBANK",Sunnybank,house,0,0,556,1505000,2025-11-29
"19/38 Dyson Avenue, SUNNYBANK",Sunnybank,house,0,0,202,780000,2025-11-22
"27 Headland Street, SUNNYBANK",Sunnybank,house,0,0,567,1150000,2026-01-19
"39 Mulgowie Street, SUNNYBANK",Sunnybank,house,0,0,633,1816000,2026-03-02
"28/18 Altandi Street, SUNNYBANK",Sunnybank,house,0,0,240,920000,2026-02-17
"38 Samara Street, SUNNYBANK",Sunnybank,house,0,0,703,1455000,2026-03-04
"52 Jacinda Street, SUNNYBANK",Sunnybank,house,0,0,685,1518000,2025-09-02
"5 Gleneagles Court, SUNNYBANK",Sunnybank,house,0,0,1266,2250000,2025-08-22
"27 Fairbank Street, SUNNYBANK",Sunnybank,house,0,0,450,1645000,2025-09-05
"387 Mccullough Street, SUNNYBANK",Sunnybank,house,0,0,608,1588000,2025-09-18
"152 Beenleigh Road, SUNNYBANK",Sunnybank,house,0,0,625,800000,2025-08-27
"140 Dixon Street, SUNNYBANK",Sunnybank,house,0,0,1115,1560000,2025-08-07
"4 Pember Street, SUNNYBANK",Sunnybank,house,0,0,642,1352500,2025-08-21
"114 Dixon Street, SUNNYBANK",Sunnybank,house,0,0,1237,1710000,2025-08-16
"558 Beenleigh Road, SUNNYBANK",Sunnybank,house,0,0,569,1040000,2025-08-23
"8/371 Beenleigh Road, SUNNYBANK",Sunnybank,house,0,0,0,825000,2025-08-25
"2/152 Lister Street, SUNNYBANK",Sunnybank,house,0,0,234,750000,2025-08-21
"20 Lavinia Street, SUNNYBANK",Sunnybank,house,0,0,642,1580000,2025-10-10
"7 Fairbank Street, SUNNYBANK",Sunnybank,house,0,0,811,2180000,2025-09-20
"28 Delafield Street, SUNNYBANK",Sunnybank,house,0,0,568,1598000,2025-09-13
"6 Meta Street, SUNNYBANK",Sunnybank,house,0,0,744,1952000,2025-10-16
"13 Wana Street, SUNNYBANK",Sunnybank,house,0,0,658,1280000,2025-10-11
"24 Devenish Street, SUNNYBANK",Sunnybank,house,0,0,697,1852000,2025-10-11
